Data pulled on 10/29/2014 at 20:49:03
username, number of edits, percent of total edits
50.240.225.25,1,0.000250941028858
Jethro B,1,0.000250941028858
198.188.155.90,1,0.000250941028858
EugeneZelenko,1,0.000250941028858
Squashbreeder,1,0.000250941028858
MrJohnCCalhoun,1,0.000250941028858
117.200.50.79,1,0.000250941028858
174.26.113.142,1,0.000250941028858
151.143.163.233,1,0.000250941028858
65.42.154.102,1,0.000250941028858
172.133.89.203,1,0.000250941028858
93.192.17.126,1,0.000250941028858
193.195.113.153,1,0.000250941028858
24.126.157.78,1,0.000250941028858
Dottoreso,1,0.000250941028858
Frecklefoot,1,0.000250941028858
DogFog,1,0.000250941028858
69.5.156.155,1,0.000250941028858
69.76.41.42,1,0.000250941028858
205.188.116.149,1,0.000250941028858
Fibonacci,1,0.000250941028858
76.30.228.218,1,0.000250941028858
Foodneedstobebetter,1,0.000250941028858
Pwu2005,1,0.000250941028858
117.201.23.65,1,0.000250941028858
Poroubalous,1,0.000250941028858
Gilliam,1,0.000250941028858
67.186.114.172,1,0.000250941028858
71.238.44.49,1,0.000250941028858
154.20.57.246,1,0.000250941028858
68.231.147.26,1,0.000250941028858
71.57.91.127,1,0.000250941028858
76.160.64.20,1,0.000250941028858
81.153.48.57,1,0.000250941028858
24.202.201.8,1,0.000250941028858
190.54.21.41,1,0.000250941028858
76.24.82.197,1,0.000250941028858
204.38.194.42,1,0.000250941028858
173.248.244.135,1,0.000250941028858
24.166.21.12,1,0.000250941028858
128.252.20.193,1,0.000250941028858
24.5.156.46,1,0.000250941028858
216.174.21.51,1,0.000250941028858
124.168.69.230,1,0.000250941028858
Ida Shaw,1,0.000250941028858
80.223.185.85,1,0.000250941028858
Kurwenal,1,0.000250941028858
208.217.164.134,1,0.000250941028858
Gsarwa,1,0.000250941028858
175.156.156.39,1,0.000250941028858
188.223.6.168,1,0.000250941028858
Robofish,1,0.000250941028858
152.26.26.215,1,0.000250941028858
BattyBot,1,0.000250941028858
75.214.98.56,1,0.000250941028858
Bdk,1,0.000250941028858
98.247.3.179,1,0.000250941028858
Joriki,1,0.000250941028858
186.77.202.43,1,0.000250941028858
108.250.252.147,1,0.000250941028858
Jakec,1,0.000250941028858
108.70.222.73,1,0.000250941028858
166.250.34.245,1,0.000250941028858
Dlarruso,1,0.000250941028858
64.228.76.25,1,0.000250941028858
188.69.245.45,1,0.000250941028858
96.39.248.172,1,0.000250941028858
Clare.s.hudson,1,0.000250941028858
198.86.93.200,1,0.000250941028858
2.221.175.70,1,0.000250941028858
Oktanyum,1,0.000250941028858
Poopshack,1,0.000250941028858
110.32.90.16,1,0.000250941028858
Nick-D,1,0.000250941028858
Amaury,1,0.000250941028858
68.173.90.232,1,0.000250941028858
Howcheng,1,0.000250941028858
Kingcobweb,1,0.000250941028858
Mainelobster,1,0.000250941028858
92.225.153.157,1,0.000250941028858
Carlossuarez46,1,0.000250941028858
186.109.105.252,1,0.000250941028858
216.83.163.132,1,0.000250941028858
68.45.192.123,1,0.000250941028858
Neutrality,1,0.000250941028858
24.60.157.218,1,0.000250941028858
173.11.27.241,1,0.000250941028858
175.145.80.34,1,0.000250941028858
Carps,1,0.000250941028858
74.76.75.167,1,0.000250941028858
72.101.165.186,1,0.000250941028858
90.5.75.244,1,0.000250941028858
72.201.235.49,1,0.000250941028858
Ecurran,1,0.000250941028858
69.38.128.246,1,0.000250941028858
71.231.157.229,1,0.000250941028858
205.174.22.26,1,0.000250941028858
Zahid Abdassabur,1,0.000250941028858
Jeff G.,1,0.000250941028858
AleXd,1,0.000250941028858
87.123.80.20,1,0.000250941028858
93.122.218.166,1,0.000250941028858
Pengo,1,0.000250941028858
99.135.157.6,1,0.000250941028858
Mean as custard,1,0.000250941028858
82.219.196.104,1,0.000250941028858
Eptin,1,0.000250941028858
Pharaoh of the Wizards,1,0.000250941028858
117.196.11.66,1,0.000250941028858
Leef5,1,0.000250941028858
24.213.67.178,1,0.000250941028858
